number,value,params_fast_period,params_slow_period,params_stop_loss_pct,params_stop_loss_type,params_take_profit_atr_mult,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
227,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
228,-2.289393237533156,5,50,0.045000000000000005,trailing,5.0,8.017587123431922e-06,10037.029466931674,10000.0,3.0,0.4940452967445513,37.029466931673596,0.003702946693167286,-2.289393237533156,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961076639021157,6.0,3.0
229,-2.289393237533156,5,50,0.045000000000000005,trailing,5.0,8.017587123431922e-06,10037.029466931674,10000.0,3.0,0.4940452967445513,37.029466931673596,0.003702946693167286,-2.289393237533156,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961076639021157,6.0,3.0
230,-2.289393237533156,5,50,0.045000000000000005,trailing,5.0,8.017587123431922e-06,10037.029466931674,10000.0,3.0,0.4940452967445513,37.029466931673596,0.003702946693167286,-2.289393237533156,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961076639021157,6.0,3.0
231,-2.289393237533156,5,50,0.045000000000000005,trailing,5.0,8.017587123431922e-06,10037.029466931674,10000.0,3.0,0.4940452967445513,37.029466931673596,0.003702946693167286,-2.289393237533156,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961076639021157,6.0,3.0
232,-2.289393237533156,5,50,0.045000000000000005,trailing,5.0,8.017587123431922e-06,10037.029466931674,10000.0,3.0,0.4940452967445513,37.029466931673596,0.003702946693167286,-2.289393237533156,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961076639021157,6.0,3.0
233,-2.289393237533156,5,50,0.045000000000000005,trailing,5.0,8.017587123431922e-06,10037.029466931674,10000.0,3.0,0.4940452967445513,37.029466931673596,0.003702946693167286,-2.289393237533156,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961076639021157,6.0,3.0
234,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
235,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
236,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
