number,value,params_overbought_level,params_oversold_level,params_rsi_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
58,-2.561725576007,75,45,16,8.709943454738483e-06,10240.185031271394,10000.0,1,0.7292029891571171,240.1850312713941,0.02401850312713938,-2.561725576007,"{'rsi_period': 16, 'oversold_level': 45, 'overbought_level': 75}",0.023734595914162365,12,10
59,-2.561725576007,75,45,16,8.709943454738483e-06,10240.185031271394,10000.0,1,0.7292029891571171,240.1850312713941,0.02401850312713938,-2.561725576007,"{'rsi_period': 16, 'oversold_level': 45, 'overbought_level': 75}",0.023734595914162365,12,10
60,-2.561725576007,75,45,16,8.709943454738483e-06,10240.185031271394,10000.0,1,0.7292029891571171,240.1850312713941,0.02401850312713938,-2.561725576007,"{'rsi_period': 16, 'oversold_level': 45, 'overbought_level': 75}",0.023734595914162365,12,10
61,-2.561725576007,75,45,16,8.709943454738483e-06,10240.185031271394,10000.0,1,0.7292029891571171,240.1850312713941,0.02401850312713938,-2.561725576007,"{'rsi_period': 16, 'oversold_level': 45, 'overbought_level': 75}",0.023734595914162365,12,10
62,-2.561725576007,75,45,16,8.709943454738483e-06,10240.185031271394,10000.0,1,0.7292029891571171,240.1850312713941,0.02401850312713938,-2.561725576007,"{'rsi_period': 16, 'oversold_level': 45, 'overbought_level': 75}",0.023734595914162365,12,10
63,-2.561725576007,75,45,16,8.709943454738483e-06,10240.185031271394,10000.0,1,0.7292029891571171,240.1850312713941,0.02401850312713938,-2.561725576007,"{'rsi_period': 16, 'oversold_level': 45, 'overbought_level': 75}",0.023734595914162365,12,10
64,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
65,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
66,-2.561725576007,75,45,16,8.709943454738483e-06,10240.185031271394,10000.0,1,0.7292029891571171,240.1850312713941,0.02401850312713938,-2.561725576007,"{'rsi_period': 16, 'oversold_level': 45, 'overbought_level': 75}",0.023734595914162365,12,10
67,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
68,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
69,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
70,-2.112712691502167,80,45,18,9.748287069845706e-06,10269.200525164622,10000.0,0,0.8394782900172286,269.2005251646224,0.026920052516462345,-2.112712691502167,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564082265329546,5,4
