number,value,params_atr_period,params_pullback_ma_period,params_reentry_cooldown_bars,params_require_volume_confirm,params_rsi_min,params_rsi_period,params_stop_loss_atr_mult,params_stop_loss_pct,params_take_profit_atr_mult,params_trend_long_period,params_trend_mid_period,params_use_invalidation,params_vol_ma_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
20,-5.473702655457646,24.0,18,10,True,45,10,2.5,,4.0,250,30,False,20,9.958353943866054e-07,10027.17336734571,10000.0,11,0.5026242191853677,27.173367345709266,0.0027173367345709742,-5.473702655457646,"{'trend_long_period': 250, 'trend_mid_period': 30, 'pullback_ma_period': 18, 'rsi_period': 10, 'rsi_min': 45, 'vol_ma_period': 20, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 10, 'atr_period': 24, 'stop_loss_atr_mult': 2.5, 'take_profit_atr_mult': 4.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0027136514497034998,21,9
21,-6.0222193654849505,24.0,20,9,True,45,8,2.5,,4.0,260,30,False,20,4.5743653369430493e-07,10012.4729177649,10000.0,11,0.5985737733449138,12.472917764900558,0.0012472917764900782,-6.0222193654849505,"{'trend_long_period': 260, 'trend_mid_period': 30, 'pullback_ma_period': 20, 'rsi_period': 8, 'rsi_min': 45, 'vol_ma_period': 20, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 9, 'atr_period': 24, 'stop_loss_atr_mult': 2.5, 'take_profit_atr_mult': 4.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.001246514554316981,20,8
22,-6.445142857668284,24.0,20,10,True,45,12,2.5,,4.5,240,45,False,15,-7.879490480279911e-07,9978.551423456804,10000.0,13,0.9243074059780249,-21.448576543196396,-0.0021448576543195985,-6.445142857668284,"{'trend_long_period': 240, 'trend_mid_period': 45, 'pullback_ma_period': 20, 'rsi_period': 12, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 10, 'atr_period': 24, 'stop_loss_atr_mult': 2.5, 'take_profit_atr_mult': 4.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",-0.0021471611558762757,21,7
23,-5.773610537463404,24.0,18,8,True,45,12,2.0,,4.5,240,45,False,15,1.1776731940184818e-06,10032.143143186862,10000.0,12,0.42676702447670894,32.14314318686229,0.00321431431868624,-5.773610537463404,"{'trend_long_period': 240, 'trend_mid_period': 45, 'pullback_ma_period': 18, 'rsi_period': 12, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 8, 'atr_period': 24, 'stop_loss_atr_mult': 2.0, 'take_profit_atr_mult': 4.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.003209159453700363,21,8
24,-5.773610537463404,24.0,18,8,True,45,12,2.0,,4.5,240,45,False,15,1.1776731940184818e-06,10032.143143186862,10000.0,12,0.42676702447670894,32.14314318686229,0.00321431431868624,-5.773610537463404,"{'trend_long_period': 240, 'trend_mid_period': 45, 'pullback_ma_period': 18, 'rsi_period': 12, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 8, 'atr_period': 24, 'stop_loss_atr_mult': 2.0, 'take_profit_atr_mult': 4.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.003209159453700363,21,8
25,-3.5440301095816387,22.0,12,4,False,45,12,3.5,,5.0,280,50,True,15,-7.51785411988961e-08,9997.951594579223,10000.0,17,0.9986168622088627,-2.0484054207772715,-0.00020484054207769997,-3.5440301095816387,"{'trend_long_period': 280, 'trend_mid_period': 50, 'pullback_ma_period': 12, 'rsi_period': 12, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 22, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",-0.00020486152476699185,34,16
26,-3.424695654902313,22.0,12,4,False,50,12,3.5,,5.0,280,45,True,25,1.9156355721024315e-06,10052.337554307165,10000.0,13,0.807468520284115,52.33755430716519,0.005233755430716469,-3.424695654902313,"{'trend_long_period': 280, 'trend_mid_period': 45, 'pullback_ma_period': 12, 'rsi_period': 12, 'rsi_min': 50, 'vol_ma_period': 25, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 22, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.005220106933979125,29,16
27,-3.5440301095816387,22.0,12,4,False,45,12,3.5,,5.0,280,50,True,15,-7.51785411988961e-08,9997.951594579223,10000.0,17,0.9986168622088627,-2.0484054207772715,-0.00020484054207769997,-3.5440301095816387,"{'trend_long_period': 280, 'trend_mid_period': 50, 'pullback_ma_period': 12, 'rsi_period': 12, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 22, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",-0.00020486152476699185,34,16
28,-3.32766509387238,22.0,12,8,False,45,12,3.5,,5.0,280,45,True,15,1.8967869004450954e-07,10005.170080329774,10000.0,16,1.108896883526306,5.170080329773555,0.000517008032977273,-3.32766509387238,"{'trend_long_period': 280, 'trend_mid_period': 45, 'pullback_ma_period': 12, 'rsi_period': 12, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 8, 'atr_period': 22, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0005168744303712885,33,17
29,-4.008673391520762,20.0,12,4,False,50,22,3.5,,5.5,280,50,True,15,2.7338846183532845e-07,10007.452611276763,10000.0,15,0.989753137655149,7.452611276763491,0.0007452611276763665,-4.008673391520762,"{'trend_long_period': 280, 'trend_mid_period': 50, 'pullback_ma_period': 12, 'rsi_period': 22, 'rsi_min': 50, 'vol_ma_period': 15, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 20, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.00074498355850127,29,13
30,-3.818513370115859,20.0,12,4,False,50,20,3.5,,5.5,280,50,True,15,5.526558064138012e-07,10015.071216404856,10000.0,14,0.9890050378595405,15.071216404856386,0.0015071216404856091,-3.818513370115859,"{'trend_long_period': 280, 'trend_mid_period': 50, 'pullback_ma_period': 12, 'rsi_period': 20, 'rsi_min': 50, 'vol_ma_period': 15, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 20, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0015059870724776082,28,13
31,-3.818513370115859,20.0,12,4,False,50,20,3.5,,5.5,280,50,True,15,5.526558064138012e-07,10015.071216404856,10000.0,14,0.9890050378595405,15.071216404856386,0.0015071216404856091,-3.818513370115859,"{'trend_long_period': 280, 'trend_mid_period': 50, 'pullback_ma_period': 12, 'rsi_period': 20, 'rsi_min': 50, 'vol_ma_period': 15, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 20, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0015059870724776082,28,13
32,-3.8727381355111716,22.0,12,4,False,50,20,3.5,,5.0,280,40,True,15,5.455708944587012e-07,10014.87786344985,10000.0,14,0.9858888004392496,14.877863449850338,0.0014877863449851425,-3.8727381355111716,"{'trend_long_period': 280, 'trend_mid_period': 40, 'pullback_ma_period': 12, 'rsi_period': 20, 'rsi_min': 50, 'vol_ma_period': 15, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 22, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0014866806873999607,28,14
33,-3.4218289014387278,22.0,16,2,False,45,10,3.5,,5.0,270,40,True,25,-2.823875339788908e-07,9992.307899637448,10000.0,18,1.150583491725036,-7.6921003625520825,-0.0007692100362551857,-3.4218289014387278,"{'trend_long_period': 270, 'trend_mid_period': 40, 'pullback_ma_period': 16, 'rsi_period': 10, 'rsi_min': 45, 'vol_ma_period': 25, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 2, 'atr_period': 22, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",-0.0007695060300924774,37,19
34,-3.9257910288538467,26.0,16,2,False,45,10,4.0,,5.0,260,55,True,25,1.207699749398132e-06,10032.964030431911,10000.0,11,0.8086158714951909,32.96403043191094,0.0032964030431910096,-3.9257910288538467,"{'trend_long_period': 260, 'trend_mid_period': 55, 'pullback_ma_period': 16, 'rsi_period': 10, 'rsi_min': 45, 'vol_ma_period': 25, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 2, 'atr_period': 26, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0032909818171099102,29,17
35,-3.9257910288538467,26.0,16,2,False,45,10,4.0,,5.0,260,55,True,25,1.207699749398132e-06,10032.964030431911,10000.0,11,0.8086158714951909,32.96403043191094,0.0032964030431910096,-3.9257910288538467,"{'trend_long_period': 260, 'trend_mid_period': 55, 'pullback_ma_period': 16, 'rsi_period': 10, 'rsi_min': 45, 'vol_ma_period': 25, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 2, 'atr_period': 26, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0032909818171099102,29,17
36,-4.253345827763861,26.0,16,2,False,45,10,4.0,,5.0,150,55,True,25,2.307341318247986e-06,10063.073129445982,10000.0,12,0.7289468985336132,63.07312944598198,0.006307312944598298,-4.253345827763861,"{'trend_long_period': 150, 'trend_mid_period': 55, 'pullback_ma_period': 16, 'rsi_period': 10, 'rsi_min': 45, 'vol_ma_period': 25, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 2, 'atr_period': 26, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.006287505092225761,31,19
